origin,dest,count,year
7,124,49285,2026
8,124,752,2026
9,124,560,2026
12,124,1344,2026
13,124,15,2026
15,124,210,2026
16,124,75,2026
17,124,27,2026
1,125,2212,2026
3,125,35,2026
7,125,56877,2026
8,125,2281,2026
9,125,192,2026
13,125,2125,2026
14,125,35,2026
15,125,210,2026
1,126,6299,2026
2,126,35,2026
7,126,55261,2026
8,126,955,2026
9,126,664,2026
13,126,4002,2026
15,126,18,2026
1,127,1665,2026
3,127,30,2026
7,127,55885,2026
8,127,16,2026
9,127,1323,2026
12,127,2425,2026
14,127,149,2026
16,127,540,2026
1,128,44,2026
2,128,34,2026
4,128,15,2026
7,128,337,2026
8,128,30,2026
9,128,41,2026
13,128,957,2026
14,128,25,2026
1,129,46,2026
2,129,3220,2026
5,129,12,2026
7,129,178,2026
9,129,35,2026
13,129,12,2026
14,129,18,2026
17,129,13,2026
18,129,28,2026
1,130,1852,2026
2,130,179,2026
7,130,5531,2026
13,130,313,2026
1,131,568,2026
2,131,1090,2026
7,131,3201,2026
8,131,549,2026
9,131,276,2026
13,131,394,2026
14,131,10,2026
15,131,191,2026
18,131,25,2026
1,13,1128,2026
2,13,14,2026
7,13,2264,2026
8,13,20,2026
9,13,15,2026
13,13,50,2026
1,133,293,2026
7,133,1192,2026
13,133,10,2026
1,134,1846,2026
2,134,740,2026
3,134,10,2026
7,134,8834,2026
8,134,10,2026
9,134,64,2026
13,134,879,2026
14,134,65,2026
15,134,10,2026
16,134,10,2026
17,134,140,2026
8,135,248,2026
14,135,41471,2026
8,136,5509,2026
14,136,3860,2026
15,136,50,2026
3,137,1025,2026
8,137,47,2026
14,137,18144,2026
3,138,750,2026
4,138,900,2026
7,138,1700,2026
8,138,721,2026
14,138,65528,2026
16,138,500,2026
3,139,1326,2026
4,139,2109,2026
8,139,255,2026
14,139,459485,2026
15,139,20,2026
16,139,1445,2026
17,139,27,2026
1,140,60,2026
3,140,2100,2026
4,140,800,2026
7,140,9655,2026
8,140,5070,2026
14,140,133644,2026
16,140,3000,2026
17,140,66,2026
1,141,40,2026
4,141,993,2026
7,141,145,2026
8,141,44,2026
14,141,6673,2026
15,141,41,2026
17,141,21,2026
3,142,2304,2026
7,142,1251,2026
8,142,968,2026
14,142,23075,2026
16,142,250,2026
4,143,11628,2026
8,143,163,2026
14,143,136547,2026
3,144,1900,2026
7,144,5,2026
8,144,794,2026
14,144,136305,2026
18,144,12,2026
7,145,3520,2026
8,145,1489,2026
14,145,32656,2026
3,146,3760,2026
8,146,58,2026
9,146,15,2026
14,146,5368,2026
8,147,7875,2026
14,147,74251,2026
8,148,1118,2026
9,148,14,2026
14,148,28313,2026
4,149,778,2026
8,149,1865,2026
14,149,75139,2026
16,149,175,2026
8,150,5314,2026
14,150,319917,2026
16,150,9833,2026
3,151,1237,2026
7,151,252,2026
8,151,186,2026
14,151,29559,2026
3,152,650,2026
8,152,10346,2026
14,152,36618,2026
7,153,585,2026
8,153,714,2026
14,153,2537,2026
1,154,75,2026
7,154,300,2026
8,154,42,2026
14,154,21035,2026
17,154,77,2026
3,155,29,2026
14,155,4851,2026
1,156,950,2026
2,156,422,2026
4,156,15,2026
7,156,11548,2026
9,156,105,2026
14,156,60,2026
15,156,25645,2026
1,157,235,2026
2,157,55,2026
7,157,7821,2026
9,157,1385,2026
13,157,110,2026
15,157,46414,2026
17,157,180,2026
7,158,3611,2026
9,158,3344,2026
15,158,13153,2026
